,ID,Cocina,Rating
1,1,1,0.0005392999643213525
2,2,0,0.020209883195027843
5,3,1,0.014478804520982111
6,4,0,0.05568323764523088
9,5,1,0.017962039600103282
10,6,0,0.07617443647188171
12,7,0,0.020669431141921935
15,8,1,0.0034338038846705387
17,9,1,0.0005406869231263233
18,10,0,0.03301833774776618
21,11,1,0.000582048655183078
22,12,0,0.03301833774776618
24,13,0,0.07915326109822324
26,14,0,0.06639229377423907
28,15,0,0.020935058936768232
30,16,0,0.08313159154262718
32,17,0,0.07206650049253928
34,18,0,0.08846236970710758
37,19,1,0.016612802944745163
38,20,0,0.08846236970710758
41,21,1,0.0005524315450513781
43,22,1,0.0005406869231263233
45,23,1,0.0005524315450513781
47,24,1,0.023358349359532585
49,25,1,0.0006439048925888955
50,26,0,0.08313159154262718
53,27,1,0.023358349359532585
54,28,0,0.05975339843420946
57,29,1,0.01164448603523606
58,30,0,0.07390026776884878
60,31,0,0.025641540045855823
62,32,0,0.022609444732111985
64,33,0,0.02130407112782585
67,34,1,0.014478804520982111
68,35,0,0.07915326109822324
71,36,1,0.0007143880763163934
72,37,0,0.06639229377423907
75,38,1,0.0005586843599405336
76,39,0,0.022609444732111985
79,40,1,0.017962039600103282
80,41,0,0.06862576603874605
82,42,0,0.04570397601515575
84,43,0,0.020669431141921935
86,44,0,0.05975339843420946
89,45,1,0.0005406869231263233
90,46,0,0.0704074012410515
92,47,0,0.023792727450727014
94,48,0,0.019938270974564562
97,49,1,0.0034338038846705387
99,50,1,0.021523566692135537
101,51,1,0.000582048655183078
103,52,1,0.016612802944745163
104,53,0,0.022609444732111985
106,54,0,0.05568323764523088
109,55,1,0.002294038486367846
111,56,1,0.014478804520982111
112,57,0,0.0634352788099379
115,58,1,0.01164448603523606
116,59,0,0.06862576603874605
118,60,0,0.06862576603874605
121,61,1,0.0005524315450513781
123,62,1,0.016612802944745163
124,63,0,0.039094848090295495
127,64,1,0.000544848347847818
129,65,1,0.023358349359532585
131,66,1,0.024916574805720102
132,67,0,0.028559202326338975
